starid,name,country,magnitude,constellation,date
HD 1402,Vince Corkery ,USA,7.84,Cas,1999-12-06
HD 169972,Kathrin Grunewald,Germany,8.3,CrA,1999-12-14
HD 19316,Lisa Ackermann ,Switzerland,9.84,Eri,1999-12-18
HD 79775,Olesya Bogolyubova,Russia,8.95,Vel,1999-12-22
HD 6956,Svetlana Glebova,Russia,9.34,Cet,1999-12-23
HD 160844,Dylan Stone,USA,8.69,Ara,1999-12-31
HD 106838,Katarina Perić ,Croatia,9.1,Cru,2000-01-01
HD 79095,Matilda Webb,USA,9.49,Lyn,2000-01-07
HD 36066,Nolan Toussaint ,Belgium,6.44,Cam,2000-01-08
HD 74183,Peggie Labadie ,USA,8.11,Vol,2000-01-09
HD 9914,Furat Antar,Saudi Arabia,8.29,And,2000-01-14
HD 118581,Diana Gaitán,Guatemala,9.29,Vir,2000-01-15
HD 169215,Yi Ze Hsu,China,8.57,CrA,2000-01-17
HD 89619,Mini Behl ,India,7.35,Leo,2000-01-20
HD 112581,Isom Funk ,Philippines,7.47,Cen,2000-01-27
HD 9424,Isabella Morar ,USA,9.17,Hyi,2000-01-31
HD 32635,Sam McLaughlin ,USA,8.78,Pic,2000-02-03
HD 202571,Teodor Neagoe ,Romania,8.66,Cyg,2000-02-05
HD 5001,Melani Tirado,Spain,9.03,Scl,2000-02-06
HD 36911,Victoria Newman,USA,7.63,Tau,2000-02-07
HD 174170,Valerie Solorio,Argentina,7.2,Sgr,2000-02-09
HD 77177,Asa Palomo,Spain,7.38,Hya,2000-02-10
HD 109400,Barbie Borrego,Spain,7.28,CVn,2000-02-12
HD 101152,Bushra Tuma,Egypt,8.86,Leo,2000-02-14
HD 58588,Kaua Oliveira,Brazil,9.59,Pup,2000-02-15
HD 27015,Valeria Almanza,Argentina,8.4,Eri,2000-02-17
HD 791,Maarit Kankkunen,Finland,7.62,Tuc,2000-02-19
HD 103469,Elena Kalinina,Russia,9.31,Cam,2000-02-23
HD 108783,Marc Wuckert ,USA,8.73,Cen,2000-02-26
HD 144302,Li Mao,China,7.85,Dra,2000-02-28
HD 17359,Mariana Sousa,Portugal,7.56,Per,2000-03-02
HD 137022,Mille Mortensen,Norway,8.81,Cir,2000-03-05
HD 224693,Kim Dahlberg,Sweden,8.23,Cet,2000-03-08
HD 27145,Mette Poulsen,Denmark,6.9,Tau,2000-03-10
HD 217755,Romaine Meilleur,Canada,8.94,Peg,2000-03-11
HD 203600,Lok Tien,China,8.15,Cep,2000-03-12
HD 159318,Polіna Dmitryenko ,Ukraine,7.76,Her,2000-03-16
HD 212757,Greta Zito,Italy,8.1,Aqr,2000-03-17
HD 184007,Sabina Choudhury ,India,8.05,Cyg,2000-03-18
HD 93393,Benjamin Nygaard,Norway,9.16,Leo,2000-03-20
HD 180186,Jaswant Mohan ,India,7.93,Lyr,2000-03-30
HD 198273,Myra Ershova,Russia,8.43,Aqr,2000-04-06
HD 117566,Ambrosia Verdugo,Cuba,5.74,Cam,2000-04-08
HD 166194,Eve Kemp,USA,7.57,Sgr,2000-04-09
HD 196976,Gundenia Gonzales,Uruguay,8.07,Aqr,2000-04-15
HD 150047,Mary Cormier ,Philippines,7.15,Her,2000-04-20
HD 10816,Freya Holland,USA,8.22,Cet,2000-04-22
HD 123151,Geranio Lebrón,Mexico,6.39,Cen,2000-04-23
HD 61719,Hana Hrdá,Czech Republic,8.72,CMi,2000-05-04
HD 121166,Erin Moran,USA,7.7,Vir,2000-05-07
HD 112701,Daeseon Sim ,South Korea,9.34,Cen,2000-05-08
HD 127724,Stanislava Nováková,Czech Republic,6.39,Cen,2000-05-09
HD 159445,Majdy Naifeh,UAE,7.63,Oph,2000-05-13
HD 232419,Hamdiyah Saliba,Pakistan,9.74,Cas,2000-05-16
HD 197512,Gisela Bürki ,Switzerland,8.56,Cyg,2000-05-21
HD 159194,Chelsie Raynor ,USA,6.76,Sco,2000-05-23
HD 118774,Yeongjin Gong ,South Korea,8.48,Cha,2000-05-24
HD 73428,Dan Ni,China,8.62,Cnc,2000-05-29
HD 22960,Ruby Tucker,USA,8.35,Ret,2000-06-01
HD 141647,Siri Dahl,Sweden,7.32,Nor,2000-06-06
HD 81528,Darwin Hermiston ,USA,9.19,Pyx,2000-06-07
HD 164287,Nya Tillman ,USA,7.93,Ser,2000-06-09
HD 212489,Leone Sakellarioe ,Greece,8.3,Peg,2000-06-12
HD 14923,Preet Chohan ,India,8.5,Cet,2000-06-15
HD 35826,Wanda Bins ,USA,8.13,Col,2000-06-24
HD 90313,Roberto Mäder ,Switzerland,8.38,Car,2000-06-28
HD 184959,Amy Higgins,USA,6.87,Cyg,2000-07-03
HD 194548,Adam Vasilyenko ,Ukraine,8.01,Aql,2000-07-05
HD 42652,Cengkir Hidayanto ,Indonesia,8.24,Aur,2000-07-06
HD 133769,Cécile Boyer ,France,8.54,Boo,2000-07-10
HD 139088,Patricia Dragović ,Croatia,7.33,Ser,2000-07-11
HD 317746,Leticia Lemus,Spain,9.1,Sco,2000-07-12
HD 19189,Marina Santos,Brazil,8.32,Cet,2000-07-13
HD 18481,Ricky Sangha ,India,9.24,Per,2000-07-14
HD 199141,Dorris Kirigwajjo ,Nigeria,6.7,Aqr,2000-07-16
HD 1874,Sarah Alexander,USA,8.29,Cas,2000-07-17
HD 1932,Runjhun Thakur ,India,8.76,Cas,2000-07-23
HD 137431,Hui Kuo,China,8.11,Lib,2000-07-27
HD 9499,Shaiming T'ang,China,7.39,Hyi,2000-07-31
HD 5712,Ruby Benson,USA,8.79,Tuc,2000-08-01
HD 145702,Filippa Lundqvist,Sweden,9.01,Nor,2000-08-06
HD 87419,Myrne Brasser,Netherlands,8.15,Car,2000-08-11
HD 126926,Clémence Mouet,Canada,8.82,Boo,2000-08-14
HD 48026,Hessa Botros,UAE,8.21,Cam,2000-08-15
HD 84330,Sulafah Halabi,Siria,7.16,Vel,2000-08-16
HD 189645,Amy Lawrence,Australia,9.07,Sgr,2000-08-20
HD 158872,Charella Coskun,South Africa,7.69,Her,2000-08-23
HD 207951,Dewei Mao,China,8.18,Cep,2000-08-27
HD 202735,Kamila Pudilová,Slovakia,8.31,Cep,2000-08-29
HD 154955,Sadina Pudjiastuti ,Indonesia,6.98,UMi,2000-08-31
HD 99962,Ute Schwab,Austria,9,Cen,2000-09-01
HD 179998,Luiza Ribeiro,Brazil,8.77,Sgr,2000-09-03
HD 101730,Edward Saunders ,United Kingdom,6.94,Vir,2000-09-04
HD 195366,Jeannine Roger ,France,7.74,Mic,2000-09-07
HD 16434,Shanti Razali ,Malaysia,7.72,Cet,2000-09-10
HD 22000,Radha Philip ,India,9.31,Hor,2000-09-12
HD 150426,Joshua Shah,USA,8.63,Ara,2000-09-23
HD 220812,Zuhaa Haddad,Iran,7.3,Aqr,2000-09-24
HD 85069,Martin Williams ,United Kingdom,8.82,Leo,2000-09-29
HD 206280,Persefone Varimpompe ,Greece,6.77,Cyg,2000-10-06
HD 153292,Marina Araujo,Brazil,9.27,Oph,2000-10-07
HD 210902,Scottie Williamson ,Philippines,7.49,Cep,2000-10-08
HD 163976,Lican Orozco,Spain,7.4,Oph,2000-10-12
HD 3194,Lisa Pichardo,Argentina,8.99,Psc,2000-10-13
HD 173289,Obdulio Arévalo,Columbia,8.26,Lyr,2000-10-14
HD 183255,Lami'ah Sarkis,Morocco,8.01,Cyg,2000-10-19
HD 41750,Haifa Bahar,Pakistan,8.28,Aur,2000-10-20
HD 234998,Ewan Hawkins,Ireland,8.76,Cyg,2000-10-22
HD 11079,Józef Adamczyk,Poland,6.9,Tri,2000-10-25
HD 12239,Victoria Kovaleva,Russia,9.55,Phe,2000-10-26
HD 101979,Václav Kopecký,Slovakia,9.23,UMa,2000-10-30
HD 114555,Ahlam Boutros,Saudi Arabia,8.81,Cha,2000-11-02
HD 11021,Homin Gil ,South Korea,8.84,For,2000-11-07
HD 12786,Vіktorіya Myelʲnichyenko ,Ukraine,7.79,Cet,2000-11-08
HD 149213,Eve French,USA,7.76,Her,2000-11-12
HD 83746,Bethany Kennedy ,United Kingdom,8.43,Dra,2000-11-13
HD 27718,Karina Isayeva,Russia,8.11,Tau,2000-11-14
HD 139747,Zacharie Martins ,France,8.77,CrB,2000-11-17
HD 99832,Hershel Kassulke ,USA,7.18,UMa,2000-11-19
HD 21932,Xiuxiu Niu,China,8.9,Per,2000-11-28
HD 11150,Jenara Hernádez,Spain,7.09,Cep,2000-12-01
HD 134590,Frederik Skov,Denmark,8.02,Lib,2000-12-12
HD 16795,Nina Kakooza ,Nigeria,8.94,Hor,2000-12-15
HD 87925,Ayden Dickinson ,USA,7.1,UMa,2000-12-17
HD 217486,Courtney Hayward,USA,8.93,Gru,2000-12-20
HD 120408,Charlotte Wenger ,Switzerland,8.72,Vir,2000-12-21
HD 106680,Samira Håkansson,Sweden,8.82,Vir,2000-12-22
HD 136345,Yue Ying Shen,China,8.56,Lib,2000-12-28
HD 84211,A'ishah Sabbagh,Tunis,9.52,Sex,2000-12-31
HD 14145,Aaron Van Hecke ,Belgium,8.33,Tri,2001-01-04
HD 210630,Megan Verdugo,Columbia,7.82,Lac,2001-01-08
HD 19591,Carola Ferri,Italy,8.18,Cas,2001-01-17
HD 205350,Xander Lejeune ,Belgium,8.1,Cyg,2001-01-18
HD 24432,Mária Střihavková,Slovakia,6.85,Per,2001-01-23
HD 1780,Danilo Silva,Brazil,9.31,Scl,2001-01-27
HD 56803,Hui Ying Tu,China,7.53,CMa,2001-01-28
HD 120771,Bo Tai,China,7.48,UMa,2001-01-29
HD 218360,Sofie Thorsen,Norway,8.61,Gru,2001-01-30
HD 213130,Jiao T'ao,China,8.98,Aqr,2001-02-01
HD 140101,Donghyeon Myeong ,South Korea,7.16,CrB,2001-02-04
HD 216554,Juhui An ,South Korea,9.56,Aqr,2001-02-05
HD 181751,Indira Gole ,India,6.56,Vul,2001-02-13
HD 132983,Svіtlana Mikityok ,Ukraine,8.44,Lup,2001-02-14
HD 7748,Aneesa Botros,Bangladesh,8.39,Psc,2001-02-15
HD 95604,Ben May,USA,9.18,UMa,2001-02-17
HD 135599,Cui Shen,China,6.92,Ser,2001-02-18
HD 102660,Solomon Protovestiarios ,Greece,6.05,Leo,2001-02-20
HD 21146,Ville Andreasson,Sweden,8.86,For,2001-02-24
HD 87251,Nelma Lassila,Finland,9.04,Vel,2001-02-27
HD 12228,Maik Wirtz,Germany,8.66,Eri,2001-03-02
HD 195488,Letizia Leiva,Spain,8.24,Ind,2001-03-05
HD 239768,Dennis Bell ,United Kingdom,9.52,Cep,2001-03-06
HD 160550,Jordina Hidalgo,Spain,8.61,Sco,2001-03-16
HD 18184,Safuh Essa,Bangladesh,8.32,Eri,2001-03-27
HD 100702,Chok Haw Hazimie ,Malaysia,8.49,Crt,2001-03-30
HD 135310,Juhaynah Sabbag,Bangladesh,7.05,Lup,2001-04-02
HD 72346,Mille Christensen,Denmark,7.77,Pyx,2001-04-05
HD 201104,Max Nagel,Austria,7.72,Cap,2001-04-11
HD 53103,Michael Paulsen,Norway,8.71,Vol,2001-04-14
HD 136732,Ben Edwards ,United Kingdom,8.3,Ser,2001-04-16
HD 164776,Francesca Byrne,New Zealand,7.19,CrA,2001-04-17
HD 217851,Eudoxia Alba,Argentina,8.49,Cas,2001-04-18
HD 137510,Sofia Bech,Denmark,6.26,Ser,2001-04-19
HD 110851,Hemilce Burgos,Spain,8.11,Cen,2001-04-21
HD 21255,Taylor Kirby,USA,8.98,Hor,2001-04-28
HD 130605,Earnestine Kessler ,USA,9.08,Lib,2001-04-29
HD 76387,Anthony Payne,USA,8.55,Lyn,2001-04-30
HD 222647,Jacqueline Desforges,Ivory Coast,8.8,Cas,2001-05-08
HD 20001,Oman Puspita ,Indonesia,7.04,Eri,2001-05-12
HD 48912,Dionisia Ferrer,Peru,9.41,Gem,2001-05-16
HD 3650,Hermann Wirz ,Switzerland,8.83,And,2001-05-18
HD 197169,Mette Jeppesen,Denmark,6.81,Del,2001-05-23
HD 182246,Madison Conway,Australia,7.44,Aql,2001-05-24
HD 217394,Jie Chen,China,9.72,PsA,2001-05-27
HD 222630,Tư Lê,Vietnam,8.14,And,2001-05-28
HD 7267,Yvonne Green ,United Kingdom,7.51,And,2001-05-29
HD 3775,Emily Barbosa,Portugal,9.23,Tuc,2001-05-31
HD 168210,Zahir Shanker ,India,8.72,Sgr,2001-06-02
HD 206149,Sallie Cummerata ,Philippines,8.58,PsA,2001-06-03
HD 89163,Rumailah Srour,Iraq,7.83,Car,2001-06-06
HD 151683,Rosemary Baez,Uruguay,8.06,Sco,2001-06-10
HD 157822,Fa'iqah Baz,Morocco,7.81,Her,2001-06-14
HD 188342,Giannina Adame,Spain,7.39,Cyg,2001-06-15
HD 201904,Annette Dach ,Philippines,8.98,Mic,2001-06-18
HD 85816,Vitória Almeida,Brazil,8.17,UMa,2001-06-21
HD 169351,Larissa Azevedo,Brazil,7.7,Pav,2001-06-22
HD 25121,Derin Arslanoğlu ,Turkey,8.77,Cam,2001-06-28
HD 108294,Kevin Jonasson,Sweden,8.28,Cen,2001-07-01
HD 194526,Maya Nicolas ,Belgium,6.32,Del,2001-07-06
HD 108278,Sharaf Maroun,Saudi Arabia,8.61,Cen,2001-07-07
HD 208455,Raihan Marbun ,Indonesia,7.94,Cyg,2001-07-09
HD 134606,Hana Paldusová,Czech Republic,6.86,Aps,2001-07-10
HD 27486,Tilde Jørgensen,Norway,9.01,Eri,2001-07-25
HD 120744,Unjani Prayoga ,Indonesia,8.33,Aps,2001-07-30
HD 222845,Enrica Saucedo,Argentina,8.52,Psc,2001-08-03
HD 121459,Laurence Parker ,USA,9.15,Vir,2001-08-04
HD 189090,Batool Shamoun,Pakistan,5.54,Sge,2001-08-05
HD 119764,Nicole Doyle,USA,9.5,Cen,2001-08-08
HD 20199,Bohumila Nováková,Slovakia,9.49,For,2001-08-11
HD 200745,Sanaa' Malouf,Tunis,7.65,Del,2001-08-15
HD 215361,Jeff Abshire ,USA,7.56,Peg,2001-08-24
HD 187959,Clarice Debie,Netherlands,7.77,Aql,2001-08-26
HD 5431,Lola Ahmed,New Zealand,6.53,And,2001-08-30
HD 112964,Higinia Armenta,Spain,7.35,Vir,2001-08-31
HD 195919,Betania Rajasa ,Indonesia,8.98,Vul,2001-09-06
HD 772,Mujur Farida ,Indonesia,8.17,Phe,2001-09-07
HD 92440,Pinabel Chandonnet,Canada,7.72,Hya,2001-09-14
HD 204507,Anush Díaz,Spain,7.53,Ind,2001-09-15
HD 205153,Lazim Zogby,Bangladesh,8.2,PsA,2001-09-18
HD 88223,Renée Coronado,Spain,6.76,Vel,2001-09-21
HD 26444,Trynke Venmans,South Africa,9.52,Dor,2001-09-24
HD 175418,Chyou Tseng,China,9.35,Sgr,2001-09-26
HD 155054,Jeannine Le Gall ,France,9.06,Ara,2001-09-27
HD 123598,Baraka Zogby,Saudi Arabia,7.08,Vir,2001-09-29
HD 48969,Rosie Summers,New Zealand,8.53,Pup,2001-10-03
HD 18145,Ursula Lang,Germany,6.53,Cet,2001-10-04
HD 13155,Anastasiya Aleksandrova,Russia,6.51,Cet,2001-10-13
HD 191195,Ella Schmidt,Norway,5.81,Cyg,2001-10-15
HD 199938,Guusje van den Blink,South Africa,7.95,Cep,2001-10-22
HD 101711,Vivi Napitupulu ,Indonesia,6.82,Cen,2001-10-23
HD 215966,Aditya Morissette ,USA,7.87,PsA,2001-10-27
HD 180409,Najla Arenas,Peru,6.93,Aql,2001-11-07
HD 51351,Zoe Henderson,Ireland,7.7,Aur,2001-11-09
HD 234163,Lauren Morgan,USA,9,Boo,2001-11-15
HD 158023,Manuela Eisenhower,Germany,8.58,Sco,2001-11-16
HD 81483,Anwaar Bata,Egypt,8.94,Car,2001-11-19
HD 15333,Lika Meilink,Netherlands,6.78,And,2001-11-21
HD 85330,Thina Árias,Spain,8.72,Car,2001-11-26
HD 249,Jinho Hwang ,South Korea,7.33,Peg,2001-11-29
HD 239706,Rosmarie Flückiger ,Switzerland,8.39,Cep,2001-12-01
HD 39189,Jackson Stamm ,USA,8.27,Ori,2001-12-04
HD 152636,Piren Limón,Spain,6.29,Sco,2001-12-14
HD 17124,Utku Mertoğlu ,Turkey,9.44,For,2001-12-15
HD 38692,Fiona Wirth ,Switzerland,8.26,Tau,2001-12-18
HD 88139,Faina Ibragimova,Russia,9.34,Vel,2001-12-24
HD 215882,Fannie Schmitt ,USA,8.63,Peg,2001-12-27
HD 139200,Evdokia Repina,Russia,8.3,Lib,2001-12-28
HD 152173,Diana Finkel,Germany,5.73,Her,2001-12-29
HD 278803,Zola Renner ,USA,8.43,Per,2002-01-06
HD 111632,Leonor Correia,Brazil,8.96,Vir,2002-01-12
HD 209107,Aya Van Hecke ,Belgium,9.13,Aqr,2002-01-22
HD 139213,Janet Kirabira ,Nigeria,7.72,UMi,2002-02-04
HD 215961,Fito Becerra,Spain,9.63,Aqr,2002-02-06
HD 31331,Nilam Rahayu ,Indonesia,5.98,Ori,2002-02-08
HD 67249,Michael Neustadt,Germany,5.96,Vel,2002-02-12
HD 73469,Vinicius Melo,Brazil,7.04,UMa,2002-02-19
HD 115822,Gracie Jennings,Ireland,9.58,Cen,2002-02-22
HD 159179,Shannon Stephenson,USA,9.8,Ara,2002-03-05
HD 16239,Dimpna Manzanares,Mexico,9.22,Eri,2002-03-08
HD 10171,Zara Vaughan,USA,8.99,Psc,2002-03-10
HD 187214,Alissa Mena,Mexico,8.1,Pav,2002-03-18
HD 40108,Leo Kuster ,Switzerland,8.07,Cam,2002-03-19
HD 198697,Baldev Shah ,India,9.06,Mic,2002-03-24
HD 5261,Thea Kjeldsen,Denmark,9.88,Cet,2002-03-26
HD 177350,Victoria Byrne,USA,8.63,Aql,2002-03-27
HD 20968,Regan Kabuubi ,Nigeria,9.47,Cam,2002-03-31
HD 213048,Amelia Morrison,New Zealand,6.61,Cep,2002-04-02
HD 222412,Michella Voortman,South Africa,7.59,Scl,2002-04-11
HD 43489,Alessio Mathieu ,Belgium,7.97,CMa,2002-04-13
HD 152733,Nirmal Golla ,India,8.1,Her,2002-04-15
HD 179009,Serdal Cox,South Africa,6.25,Pav,2002-04-16
HD 139651,Nadira Srour,Saudi Arabia,8.71,Lup,2002-04-19
HD 15004,Francine Maya,Uruguay,6.34,Cet,2002-04-30
HD 163186,Amy Arreola,Uruguay,8.2,Her,2002-05-06
HD 133821,On Ts'ui,China,8.94,Lup,2002-05-07
HD 125007,Leone Rogahn ,USA,7.03,Lup,2002-05-10
HD 39628,Gerridina Bottenberg,Netherlands,6.95,Aur,2002-05-13
HD 3193,Hannah Doyle,USA,8.02,Psc,2002-05-15
HD 65301,Edmonda Mazzi,Italy,5.78,Lyn,2002-05-21
HD 12707,Shannon Faulkner,USA,8.85,Eri,2002-05-23
HD 131566,Atala Guerrero,Spain,8.59,TrA,2002-05-24
HD 11643,Imre Termeer,South Africa,6.09,For,2002-05-26
HD 6266,Sebastian Morgan,USA,7.74,Psc,2002-05-29
HD 5771,Pellegrin Erôss,Hungary,6.23,Tuc,2002-06-05
HD 98750,Amelie Zwaneveld,South Africa,7.81,Leo,2002-06-07
HD 55524,Waino Wolf ,USA,9.42,Pup,2002-06-10
HD 199766,Jonathan Savage,USA,5.3,Equ,2002-06-12
HD 123927,Ida Kurniawan ,Indonesia,8.63,Cen,2002-06-15
HD 21211,Christian Reiniger,Germany,8.09,Hyi,2002-06-16
HD 77665,Exaltación Esquivel,Venezuela,6.72,Pyx,2002-06-17
HD 72762,Xiuxiu Peng,China,7.86,Hya,2002-06-25
HD 88917,Signe Kjær,Norway,8.44,Vel,2002-06-26
HD 171746,Hajar Libert ,Belgium,6.21,Her,2002-07-07
HD 207627,Josh Myers,Australia,6.54,Cap,2002-07-13
HD 6681,Mandy Reinhard,Germany,8.87,Psc,2002-07-14
HD 66726,Berke Alyanak ,Turkey,6.83,Pup,2002-07-15
HD 244378,Isabel Rose,USA,9.22,Ori,2002-07-16
HD 64568,Natalia Dubinina,Russia,9.39,Pup,2002-07-17
HD 223338,Shu Shao,China,9.38,Aqr,2002-07-21
HD 65183,Polina Belyakova,Russia,6.28,Pup,2002-07-24
HD 202252,Benedetta Monaldo,Italy,7.97,Cyg,2002-07-26
HD 207793,Christina Huber ,Switzerland,6.58,Cyg,2002-07-27
HD 120562,Freya Cox ,United Kingdom,9.24,Cen,2002-07-29
HD 15210,Fai Liang,China,8.03,Cet,2002-07-31
HD 335590,Jakob Nygaard,Norway,8.07,Her,2002-08-03
HD 27724,Jaia Hernádez,Spain,9.09,Eri,2002-08-07
HD 112693,Roch De La Vergne,Canada,9.37,Com,2002-08-09
HD 97843,Itzel Borer ,USA,8.59,Cen,2002-08-11
